title,artist,year,position,mood_tone,instrumentation,genre
End of the Road,Boyz II Men,1992,1,"emotional, soulful, dramatic","vocal harmonies, strings, piano","R&B, ballad"
Baby Got Back,Sir Mix-a-Lot,1992,2,"funny, brash, bold","bass-heavy beat, male vocals","hip hop, novelty"
Jump,Kris Kross,1992,3,"hyper, playful, energetic","hip hop beats, youthful vocals",hip hop
Save the Best for Last,Vanessa Williams,1992,4,"elegant, heartfelt, delicate","piano, soft strings, female vocals","adult contemporary, pop"
Baby-Baby-Baby,TLC,1992,5,"romantic, smooth, confident","new jack swing beats, female vocals","R&B, new jack swing"
I Will Always Love You,Whitney Houston,1993,1,"powerful, emotional, dramatic","vocal power, orchestral backing","pop ballad, soul"
Whoomp! (There It Is),Tag Team,1993,2,"fun, energetic, carefree","bass-heavy beat, chant vocals","hip hop, party anthem"
Can't Help Falling in Love,UB40,1993,3,"romantic, mellow, smooth","reggae beat, soft vocals",reggae-pop
That's the Way Love Goes,Janet Jackson,1993,4,"sensual, relaxed, smooth","synth groove, female vocals",R&B
Freak Me,Silk,1993,5,"intimate, sultry, soft","slow jam beat, male vocals","R&B, slow jam"
The Sign,Ace of Base,1994,1,"bright, catchy, tropical","reggae-influenced synths, vocals","pop, reggae-pop"
I Swear,All-4-One,1994,2,"romantic, sincere, gentle","piano, harmonized male vocals","R&B, pop ballad"
I'll Make Love to You,Boyz II Men,1994,3,"tender, passionate, slow","orchestral backing, male vocals","R&B, soul"
The Power of Love,Celine Dion,1994,4,"uplifting, powerful, heartfelt","strong vocals, orchestral arrangement","adult contemporary, pop"
Hero,Mariah Carey,1994,5,"inspirational, soaring, emotional","piano, vocal-driven","pop, ballad"
Gangsta's Paradise,Coolio feat. L.V.,1995,1,"dark, reflective, gritty","orchestral samples, rap vocals","hip hop, soul"
Waterfalls,TLC,1995,2,"cautionary, soulful, thoughtful","R&B groove, layered vocals","R&B, pop"
Creep,TLC,1995,3,"confessional, smooth, moody","R&B instrumentation, female vocals",R&B
Kiss from a Rose,Seal,1995,4,"romantic, dramatic, mysterious","orchestral backing, male vocals","pop, ballad"
On Bended Knee,Boyz II Men,1995,5,"heartfelt, emotional, tender","soft piano, vocal harmony","R&B, ballad"
Macarena (Bayside Boys Remix),Los del Rio,1996,1,"fun, festive, danceable","Latin beat, simple vocals","dance-pop, novelty"
One Sweet Day,Mariah Carey and Boyz II Men,1996,2,"emotional, touching, sorrowful","piano, vocal harmonies","R&B, ballad"
Because You Loved Me,Celine Dion,1996,3,"inspirational, powerful, heartfelt","orchestral strings, strong female vocals","adult contemporary, pop"
Nobody Knows,The Tony Rich Project,1996,4,"melancholic, smooth, quiet","acoustic guitar, soft vocals","R&B, soul"
Always Be My Baby,Mariah Carey,1996,5,"playful, romantic, memorable","R&B beat, catchy melody","R&B, pop"
Something About The Way You Look Tonight,Elton John,1997,1a,"sentimental, rich, romantic","piano, strings, male vocals","pop rock, ballad"
Candle in the Wind,Elton John,1997,1b,"honoring, emotional, sorrowful","piano, orchestral arrangement",pop ballad
Foolish Games,Jewel,1997,2a,"vulnerable, intense, pained","piano, sparse backing, female vocals",folk-pop
You Were Meant for Me,Jewel,1997,2b,"introspective, tender, acoustic","acoustic guitar, soft vocals",folk-pop
I'll Be Missing You,Diddy feat. Faith Evans and 112,1997,3,"grieving, nostalgic, passionate","sampled beat, rap and chorus","hip hop, tribute ballad"
Un-Break My Heart,Toni Braxton,1997,4,"heartbroken, powerful, emotional","orchestral strings, piano, strong female vocals","R&B, pop ballad"
Can't Nobody Hold Me Down,Diddy feat. Mase,1997,5,"confident, slick, braggadocious","sampled beat, rap verses, steady rhythm","hip hop, rap"
Too Close,Next,1998,1,"intimate, flirty, suggestive","slow jam beat, male vocals","R&B, slow jam"
The Boy Is Mine,Brandy and Monica,1998,2,"competitive, emotional, polished","duet vocals, R&B instrumentation","R&B, duet"
You're Still the One,Shania Twain,1998,3,"romantic, reassuring, devoted","country instrumentation, female vocals",country pop
Truly Madly Deeply,Savage Garden,1998,4,"devoted, dreamy, passionate","piano, synths, vocal harmonies","pop, soft rock"
How Do I Live,LeAnn Rimes,1998,5,"yearning, heartfelt, dramatic","strings, soft rock elements","country pop, ballad"
Believe,Cher,1999,1,"empowering, electronic, anthemic","auto-tuned vocals, dance beat",dance-pop
No Scrubs,TLC,1999,2,"bold, assertive, catchy","R&B beats, vocal harmonies",R&B
Angel of Mine,Monica,1999,3,"tender, soulful, sincere","R&B instrumentation, smooth vocals","R&B, ballad"
Heartbreak Hotel,Whitney Houston feat. Faith Evans and Kelly Price,1999,4,"emotional, dramatic, strong","duet vocals, dramatic build","R&B, soul"
...Baby One More Time,Britney Spears,1999,5,"intense, teenage, vulnerable","pop beat, punchy vocals",teen pop
Breathe,Faith Hill,2000,1,"romantic, soaring, heartfelt","country-pop backing, female vocals",country pop
Smooth,Santana feat. Rob Thomas,2000,2,"sensual, Latin-infused, passionate","Latin guitar, rock vocals","Latin rock, pop"
Maria Maria,Santana feat. The Product G&B,2000,3,"groovy, relaxed, smooth","Latin beats, R&B vocals",Latin R&B
I Wanna Know,Joe,2000,4,"yearning, romantic, emotional","R&B slow jam style, male vocals",R&B
Everything You Want,Vertical Horizon,2000,5,"reflective, melodic, driven","rock band instrumentation, male vocals","alt-rock, pop rock"
Hanging By A Moment,Lifehouse,2001,1,"yearning, heartfelt, alternative","electric guitar, melodic vocals, rock drums","alternative rock, pop rock"
Fallin',Alicia Keys,2001,2,"soulful, vulnerable, romantic","piano, soulful female vocals","R&B, soul"
All For You,Janet Jackson,2001,3,"fun, upbeat, summery","dance-pop beat, synths, female vocals","dance-pop, R&B"
Drops of Jupiter (Tell Me),Train,2001,4,"emotional, epic, introspective","piano, strings, rock arrangement","rock, adult contemporary"
I'm Real (Murder Remix),Jennifer Lopez feat. Ja Rule,2001,5,"gritty, urban, catchy","hip hop beat, duet vocals","hip hop, R&B"
How You Remind Me,Nickelback,2002,1,"angsty, emotional, raw","distorted guitar, gravelly vocals","post-grunge, rock"
Foolish,Ashanti,2002,2,"heartbroken, smooth, longing","R&B beat, soft female vocals",R&B
Hot in Herre,Nelly,2002,3,"confident, clubby, energetic","funky beats, rhythmic male vocals",hip hop
Dilemma,Nelly feat. Kelly Rowland,2002,4,"romantic, mellow, sentimental","R&B harmonies, slow tempo","hip hop, R&B"
Wherever You Will Go,The Calling,2002,5,"uplifting, melodic, longing",guitar-driven rock band arrangement,"pop rock, alternative"
In da Club,50 Cent,2003,1,"confident, hard-hitting, club","hip hop beats, male vocals",hip hop
Ignition,R. Kelly,2003,2,"smooth, flirtatious, cool",smooth R&B groove,R&B
Get Busy,Sean Paul,2003,3,"danceable, Caribbean, rhythmic","reggae beats, patois vocals",dancehall
Crazy in Love,Beyonce featuring Jay-Z,2003,4,"fierce, sexy, energetic","horns, strong beat, female vocals","R&B, pop"
When I'm Gone,3 Doors Down,2003,5,"melancholic, intense, emotional","rock guitars, emotional vocals","post-grunge, rock"
Yeah!,Usher feat. Lil John & Ludacris,2004,1,"party-ready, infectious, fun","crunk beat, rap vocals, synths","R&B, hip hop"
Burn,Usher,2004,2,"emotional, slow-burning, romantic","R&B groove, soft piano, male vocals","R&B, ballad"
If I Ain't Got You,Alicia Keys,2004,3,"soulful, heartfelt, yearning","piano, vocal-driven, soft strings","soul, R&B"
This Love,Maroon 5,2004,4,"funky, upbeat, bittersweet","funk guitar, rhythmic drums, male vocals","pop rock, funk"
The Way You Move,OutKast feat. Sleepy Brown,2004,5,"cool, smooth, laid-back","brass, mellow beat, vocals","hip hop, funk"
We Belong Together,Mariah Carey,2005,1,"emotional, longing, romantic","slow jam backing, layered vocals","R&B, pop"
Hollaback Girl,Gwen Stefani,2005,2,"sassy, assertive, fierce","marching band beat, female vocals","hip hop, pop"
Let Me Love You,Mario,2005,3,"romantic, heartfelt, smooth","R&B groove, soft vocals",R&B
Since U Been Gone,Kelly Clarkson,2005,4,"empowering, bold, anthemic","rock guitars, powerful vocals",pop rock
"1, 2 Step",Ciara feat. Missy Elliot,2005,5,"danceable, confident, playful","electronic beats, synths, vocals","crunk&B, hip hop"
Bad Day,Daniel Powter,2006,1,"melancholic, hopeful, introspective","piano, soft beat, male vocals",pop rock
Temperature,Sean Paul,2006,2,"energetic, tropical, rhythmic","dancehall beat, patois vocals",dancehall
Promiscuous,Nelly Furtado feat. Timbaland,2006,3,"flirty, playful, confident","synth-heavy beat, duet vocals","pop, R&B"
You're Beautiful,James Blunt,2006,4,"romantic, soft, longing","piano, acoustic guitar, male vocals",soft rock
Hips Don't Lie,Shakira feat. Wyclef Jean,2006,5,"festive, vibrant, sensual","Latin beat, horn section, duet vocals","reggaeton, Latin pop"
Irreplaceable,Beyonce,2007,1,"confident, empowering, smooth","guitar, steady beat, female vocals","R&B, pop"
Umbrella,Rihanna feat. Jay-Z,2007,2,"protective, catchy, resilient","synths, R&B rhythm, rap verse","R&B, pop"
The Sweet Escape,Gwen Stefani feat. Akon,2007,3,"light, escapist, poppy","synth pop beat, male-female vocals","pop, hip hop"
Big Girls Don't Cry (Personal),Fergie,2007,4,"emotional, independent, strong","acoustic guitar, soft pop backing",pop ballad
Buy U a Drank (Shawty Snappin'),T-Pain feat. Yung Joc,2007,5,"flirty, slick, humorous","auto-tune vocals, snap beat","hip hop, snap"
Low,Flo Rida feat. T-Pain,2008,1,"energetic, party-ready, braggadocious","808 beat, synths, rap vocals","hip hop, club"
Bleeding Love,Leona Lewis,2008,2,"emotional, aching, passionate","piano, strings, female vocals","pop, soul"
No One,Alicia Keys,2008,3,"uplifting, strong, romantic","piano, light beat, soulful vocals","soul, R&B"
Lollipop,Lil Wayne feat. Static Major,2008,4,"provocative, catchy, hypnotic","synth bass, auto-tuned vocals",hip hop
Apologize,Timbaland feat. OneRepublic,2008,5,"regretful, dramatic, soft","piano, minimal backing, male vocals","pop, ballad"
Boom Boom Pow,The Black Eyed Peas,2009,1,"futuristic, intense, bold","electronic synths, heavy bass","electropop, hip hop"
Poker Face,Lady Gaga,2009,2,"enigmatic, stylish, rhythmic","electropop beat, female vocals",electropop
Just Dance,Lady Gaga feat. Colby O'Donis,2009,3,"upbeat, carefree, danceable","club beat, synths, pop vocals",dance-pop
I Gotta Feeling,The Black Eyed Peas,2009,4,"celebratory, uplifting, party","club beats, pop vocals",dance-pop
Love Story,Taylor Swift,2009,5,"romantic, fairy-tale, emotional","acoustic guitar, strings, female vocals",country-pop
Tik Tok,Kesha,2010,1,"wild, carefree, energetic","synths, autotuned vocals, club beat","electropop, dance-pop"
Need You Now,Lady Antebellum,2010,2,"longing, nostalgic, emotional","piano, country instrumentation, vocal harmony",country-pop
"Hey, Soul Sister",Train,2010,3,"cheerful, quirky, romantic","ukulele, pop beat, male vocals",pop rock
California Gurls,Katy Perry feat. Snoop Dogg,2010,4,"fun, summery, colorful","synths, female vocals, rap verse","pop, electropop"
OMG,Usher feat. will.i.am,2010,5,"flirty, danceable, upbeat","electronic beats, auto-tune vocals","R&B, dance-pop"
Rolling in the Deep,Adele,2011,1,"intense, emotional, empowering, vengeful","acoustic guitar, kick drum, snare, handclaps, backing vocals","soul, blues, gospel, pop"
Party Rock Anthem,LMFAO feat. Lauren Bennett and GoonRock,2011,2,"energetic, fun, party, carefree","electronic synths, drum machine, autotuned vocals, synth bass","electro house, dance-pop"
Firework,Katy Perry,2011,3,"uplifting, inspirational, empowering","synth strings, piano, electronic drums, layered vocals","dance-pop, pop"
E.T.,Katy Perry feat. Kanye West,2011,4,"mysterious, sensual, futuristic","electronic beats, dubstep elements, autotuned vocals","electronic, pop, hip hop"
Give Me Everything,"Pitbull feat. Ne-Yo, Afrojack and Nayer",2011,5,"upbeat, romantic, celebratory","synths, electronic beats, male vocals, rap verses","dance-pop, pop-rap, EDM"
Somebody That I Used to Know,Gotye feat. Kimbra,2012,1,"haunting, regretful, introspective","xylophone, sparse beat, male/female vocals","indie pop, art pop"
Call Me Maybe,Carly Rae Jepsen,2012,2,"fun, flirty, catchy","pop beat, synths, female vocals",bubblegum pop
We Are Young,Fun feat. Janelle Monae,2012,3,"youthful, dramatic, empowering","anthemic instrumentation, strong vocals",pop rock
Payphone,Maroon 5 feat. Wiz Khalifa,2012,4,"heartfelt, poppy, nostalgic","piano, pop rock arrangement","pop rock, hip hop"
Lights,Ellie Goulding,2012,5,"dreamy, mellow, hopeful","synths, airy vocals",electropop
Thrift Shop,Macklemore and Ryan Lewis feat. Wanz,2013,1,"fun, quirky, satirical","brass samples, rap vocals",hip hop
Blurred Lines,Robin Thicke feat. TI and Pharrell Williams,2013,2,"catchy, controversial, upbeat","funky rhythm, falsetto vocals","R&B, pop"
Radioactive,Imagine Dragons,2013,3,"tense, cinematic, powerful","heavy drums, gritty guitar",alternative rock
Harlem Shake,Baauer,2013,4,"chaotic, humorous, viral","trap beats, minimal vocals","trap, EDM"
Can't Hold Us,Macklemore and Ryan Lewis feat. Ray Dalton,2013,5,"energetic, anthemic, motivational",orchestral hip hop fusion,"hip hop, alternative"
Happy,Pharrell Williams,2014,1,"joyful, carefree, infectious","claps, upbeat rhythm, solo vocals","soul, pop"
Dark Horse,Katy Perry and Juicy J,2014,2,"dark, seductive, mystical","trap beat, mystical synths",trap-pop
All of Me,John Legend,2014,3,"romantic, heartfelt, sincere",piano ballad,"R&B, soul"
Fancy,Iggy Azalea feat. Charli XCX,2014,4,"sassy, playful, bold","synths, trap beat, female vocals",pop rap
Counting Stars,OneRepublic,2014,5,"inspirational, dramatic, poppy","guitar, piano, pop rock beat",pop rock
Uptown Funk,Mark Ronson feat. Bruno Mars,2015,1,"funky, energetic, nostalgic","funk brass, groove rhythm, male vocals","funk, pop"
Thinking Out Loud,Ed Sheeran,2015,2,"romantic, classic, elegant","guitar, soft ballad instrumentation",ballad
See You Again,Wiz Khalifa feat. Charlie Puth,2015,3,"tribute, sad, soulful","piano, rap, emotional vocals",rap ballad
Trap Queen,Fetty Wap,2015,4,"braggadocious, catchy, bold","trap beats, melodic rap",trap
Sugar,Maroon 5,2015,5,"sweet, lighthearted, upbeat","pop guitars, falsetto vocals",pop rock
Love Yourself,Justin Bieber,2016,1,"biting, mellow, confessional","acoustic guitar, minimal beat","pop, acoustic"
Sorry,Justin Bieber,2016,2,"regretful, tropical, catchy","dancehall rhythm, synths",dancehall-pop
One Dance,Drake feat. Wizkid and Kyla,2016,3,"sensual, rhythmic, low-key","Afrobeats influence, sparse vocals","Afrobeats, pop"
Work,Rihanna feat. Drake,2016,4,"seductive, danceable, hypnotic","Caribbean beat, duet vocals",dancehall-pop
Stressed Out,Twenty One Pilots,2016,5,"anxious, nostalgic, existential","alt-pop instrumentation, male vocals",alternative pop
Shape of You,Ed Sheeran,2017,1,"catchy, flirtatious, rhythmic","looped marimba, pop beat","pop, tropical house"
Despacito (Remix),Luis Fonsi and Daddy Yankee feat. Justin Bieber,2017,2,"sensual, summery, global","reggaeton beat, smooth vocals",reggaeton-pop
That's What I Like,Bruno Mars,2017,3,"luxurious, rhythmic, romantic","R&B rhythm, synths","R&B, pop"
Humble,Kendrick Lamar,2017,4,"raw, dominant, intense","trap beat, sharp delivery",hip hop
Something Just Like This,The Chainsmokers and Coldplay,2017,5,"hopeful, grand, electronic","EDM drops, male vocals","EDM, pop"
God's Plan,Drake,2018,1,"grateful, protective, smooth","minimal beats, melodic rap","hip hop, pop"
Perfect,Ed Sheeran,2018,2,"romantic, classic, touching","acoustic guitar, romantic vocals",ballad
Meant to Be,Bebe Rexha feat. Florida Georgia Line,2018,3,"breezy, optimistic, country-tinged","country-pop fusion, duet vocals",country pop
Havana,Camila Cabello feat. Young Thug,2018,4,"seductive, exotic, smooth","Latin rhythms, sultry vocals",Latin pop
rockstar,Post Malone feat. 21 Savage,2018,5,"dark, boastful, trap-infused","trap drums, moody tones","trap, hip hop"
Old Town Road - Remix,Lil Nas X feat. Billy Ray Cyrus,2019,1,"quirky, genre-blending, bold",trap beat with banjo sample,country trap
Sunflower,Post Malone and Swae Lee,2019,2,"mellow, vibey, sweet","lo-fi beat, light vocals","hip hop, pop"
Without Me,Halsey,2019,3,"raw, emotional, dark","moody synths, solo vocals",electropop
Bad Guy,Billie Eilish,2019,4,"sarcastic, moody, playful","bass-heavy, whispered vocals","electropop, alt-pop"
Wow,Post Malone,2019,5,"braggadocious, chill, sleek",minimalist trap beat,"hip hop, pop"
Blinding Lights,The Weeknd,2020,1,"retro, energetic, euphoric","synthwave beat, male vocals",synth-pop
Circles,Post Malone,2020,2,"laid-back, introspective, melodic","guitar loop, relaxed beat",pop rap
The Box,Roddy Ricch,2020,3,"hard-hitting, streetwise, minimal","trap beat, aggressive flow",trap
Don't Start Now,Dua Lipa,2020,4,"confident, upbeat, stylish","funk-pop beat, female vocals",disco-pop
Rockstar,DaBaby feat. Roddy Ricch,2020,5,"boastful, trap-heavy, catchy","trap drums, dark melody",trap
Levitating,Dua Lipa,2021,1,"disco, joyful, groovy","retro synths, funk rhythm",disco-pop
Save Your Tears,The Weeknd and Ariana Grande,2021,2,"emotional, synthy, bittersweet",synth-pop duet,synth-pop
Blinding Lights,The Weeknd,2021,3,"euphoric, retro, driving",80s-style synths,synth-pop
Mood,24kGoldn feat. Iann Dior,2021,4,"chill, playful, genre-blending",trap-pop guitars,pop rap
Good 4 U,Olivia Rodrigo,2021,5,"angry, sarcastic, intense","rock guitars, pop-punk vocals",pop punk
Heat Waves,Glass Animals,2022,1,"nostalgic, mellow, electronic","synths, soft vocals, pop beat",indie pop
As It Was,Harry Styles,2022,2,"reflective, upbeat, wistful","drums, synth-pop instrumentation",synth-pop
Stay,Kid Laroi and Justin Bieber,2022,3,"urgent, emotional, modern","pop beats, duet vocals",pop rap
Easy On Me,Adele,2022,4,"vulnerable, heartfelt, slow","piano ballad, rich female vocals","ballad, pop"
Shivers,Ed Sheeran,2022,5,"romantic, peppy, lighthearted","guitar, pop production, male vocals",pop
Last Night,Morgan Wallen,2023,1,"wistful, romantic, country","country instrumentation, male vocals",country-pop
Flowers,Miley Cyrus,2023,2,"empowering, retrospective, catchy","pop beat, strong female vocals",pop
Kill Bill,SZA,2023,3,"dark, obsessive, intimate","R&B production, smooth vocals",R&B
Anti-Hero,Taylor Swift,2023,4,"self-deprecating, melodic, sharp","synth-pop, soft vocal delivery",synth-pop
Creepin',"Metro Boomin, The Weeknd and 21 Savage",2023,5,"moody, mysterious, haunting","trap beat, ambient textures","trap, R&B"
Lose Control,Teddy Swims,2024,1,"soulful, pleading, smooth","soul vocals, pop ballad arrangement",soul-pop
A Bar Song (Tipsy),Shaboozey,2024,2,"rowdy, fun, nostalgic","country trap beat, male vocals",country trap
Beautiful Things,Benson Boone,2024,3,"emotional, dramatic, romantic","piano-driven, soft pop instrumentation",pop ballad
I Had Some Help,Post Malone feat. Morgan Wallen,2024,4,"collaborative, catchy, confident","country-pop fusion, duet","country-pop, hip hop"
Lovin' On Me,Jack Harlow,2024,5,"cocky, sleek, minimalist","trap beat, male vocals",trap-pop
